"ForestTypeGroup","AgeGroup","carbon","carbon_se","TYPGRPCD","cumTDEE","cumTDEE_ubSE","cumTDEE_lbSE","joint_c"
"Lodgepole pine",170,100.082604,10.78731257,280,133.1754331,143.1864698,123.1643964,-33.0928291
"Lodgepole pine",180,102.2671756,9.362380686,280,113.0966579,123.931762,102.2615537,-10.8294823
"Lodgepole pine",190,93.19854054,8.732976982,280,127.3266917,137.882053,116.7713305,-34.12815116
"Lodgepole pine",200,120.4040054,7.887149868,280,122.3192418,131.2703195,113.3681642,-1.9152364
"Lodgepole pine",NA,52.89708871,8.301010787,280,NA,NA,NA,NA
"Longleaf / slash pine",0,18.3234843,0.421062717,140,14.01229414,15.41831353,12.60627476,4.31119016
"Longleaf / slash pine",10,49.47353116,1.218748386,140,25.17872381,26.71063884,23.64680877,24.29480735
"Longleaf / slash pine",20,65.14960528,1.514325555,140,31.67595972,33.3995475,29.95237193,33.47364556
"Longleaf / slash pine",30,72.33095219,2.074355049,140,35.07442678,37.02315378,33.12569978,37.25652541
"Longleaf / slash pine",40,70.21772032,2.836654158,140,34.6047069,37.01451133,32.19490247,35.61301342
"Longleaf / slash pine",50,79.92313631,2.773937932,140,38.45892509,41.04040338,35.87744679,41.46421122
"Longleaf / slash pine",60,87.8182114,3.055807478,140,39.03654044,41.81831649,36.2547644,48.78167096
"Longleaf / slash pine",70,94.80958315,4.353888149,140,38.78221785,41.61884164,35.94559407,56.0273653
"Longleaf / slash pine",80,85.88954678,4.119125896,140,40.93157652,44.04151991,37.82163313,44.95797026
"Longleaf / slash pine",90,93.48725874,8.766012185,140,42.16489545,46.6984148,37.63137609,51.32236329
"Longleaf / slash pine",100,73.70987984,16.23212722,140,43.4969234,49.74993109,37.24391571,30.21295644
"Longleaf / slash pine",110,139.4624632,29.20987948,140,24.67556913,34.91978142,14.43135683,114.78689407
"Longleaf / slash pine",120,44.18228573,12.05424163,140,49.4053829,63.11450946,35.69625635,-5.22309717
"Maple / beech / birch",0,26.09615857,2.353625154,800,-2.912583081,1.365958375,-7.191124538,29.008741651
"Maple / beech / birch",10,37.88535604,5.628267844,800,5.322863847,9.874046694,0.771681001,32.562492193
"Maple / beech / birch",20,38.64643917,2.138991482,800,11.88560766,15.8956141,7.875601215,26.76083151
"Maple / beech / birch",30,48.0848621,2.825071704,800,15.8525917,19.3215801,12.3836033,32.2322704
"Maple / beech / birch",40,60.42020485,2.446544731,800,21.01567713,24.18377648,17.84757778,39.40452772
"Maple / beech / birch",50,75.69323632,1.892746291,800,25.47916578,28.20730714,22.75102443,50.21407054
"Maple / beech / birch",60,87.57592433,1.68488221,800,27.85916951,30.35830615,25.36003287,59.71675482
"Maple / beech / birch",70,97.00670073,1.597929046,800,31.4437083,33.78883469,29.09858191,65.56299243
"Maple / beech / birch",80,105.8992839,1.624337841,800,33.49178281,35.71123584,31.27232977,72.40750109
"Maple / beech / birch",90,108.57857,1.840514902,800,33.93599167,36.23429457,31.63768876,74.64257833
"Maple / beech / birch",100,116.768695,3.704092367,800,35.65333319,38.14852442,33.15814196,81.11536181
"Maple / beech / birch",110,123.1636125,4.535430663,800,35.05854909,38.23499482,31.88210336,88.10506341
"Maple / beech / birch",120,122.5254136,7.426411329,800,41.80929782,46.25481648,37.36377915,80.71611578
"Maple / beech / birch",130,132.6475957,8.366558957,800,43.27944197,48.98832698,37.57055696,89.36815373
"Maple / beech / birch",140,116.3715185,7.173713146,800,34.08338093,42.04852198,26.11823988,82.28813757
"Maple / beech / birch",150,117.3084242,5.617387647,800,49.92523223,62.45659094,37.39387351,67.38319197
"Maple / beech / birch",160,149.4076982,17.11018049,800,46.90337841,57.94640697,35.86034985,102.50431979
"Maple / beech / birch",200,150.7187234,12.46928082,800,66.16843636,80.6643672,51.67250552,84.55028704
"Maple / beech / birch",NA,104.2827881,33.70804669,800,NA,NA,NA,NA
"Nonstocked",0,16.58376331,0.41044713,999,5.343908424,5.798103053,4.889713795,11.239854886
"Oak / gum / cypress",0,17.96297757,0.909891041,600,14.58677316,16.74830942,12.4252369,3.37620441
"Oak / gum / cypress",10,25.96364435,1.007479738,600,20.2833071,21.90421071,18.66240349,5.68033725
"Oak / gum / cypress",20,48.47542868,1.343230776,600,21.48657122,23.38309787,19.59004456,26.98885746
"Oak / gum / cypress",30,60.01836442,1.919583551,600,24.20342881,26.26340052,22.14345711,35.81493561
"Oak / gum / cypress",40,68.96970234,1.909912612,600,27.24911163,29.21389756,25.28432569,41.72059071
"Oak / gum / cypress",50,80.88374012,2.238014972,600,29.37152964,31.27160129,27.47145799,51.51221048
